<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
TGKD;M;20200701;000000;0.0034200
TGKD;M;20200801;000000;0.0035000
TGKD;M;20200901;000000;0.0036700
TGKD;M;20201001;000000;0.0036700
TGKD;M;20201101;000000;0.0035100
TGKD;M;20201201;000000;0.0036300
TGKD;M;20210101;000000;0.0038300
TGKD;M;20210201;000000;0.0041200
TGKD;M;20210301;000000;0.0041450
TGKD;M;20210401;000000;0.0058750
TGKD;M;20210501;000000;0.0062000
TGKD;M;20210601;000000;0.0071000
